pair_id,condition,subject,confidence,bn_context,banglish_context,bn_question,banglish_question,bn_correct_answer,banglish_correct_answer,bn_wrong_answer,banglish_wrong_answer,hallucination_type_guess,source_original_pair_id,reviewer_status,reviewer_notes
pilot_000037,has_context,law,low,"[(১) যদি কোন চেয়ারম্যান বা চেয়ারম্যানের দায়িত্বপ্রাপ্ত কোন সদস্য বা প্রশাসক ধারা ৩০ অনুযায়ী নির্ধারিত পদ্ধতিতে নির্দিষ্ট সময়ের মধ্যে দায়িত্ব হস্তান্তর করিতে ব্যর্থ হন, তাহা হইলে তাহার বিধি দ্বারা নির্ধারিত পদ্ধতিতে তাহার উপর অনধিক ৫০ (পঞ্চাশ) হাজার টাকা জরিমানা আরোপিত হইবে|]।","[(1) jodi kon cheyaromjano ba cheyaromjanero dayitboprapto kon sodosjo ba proshasoko dhara 30 anujayi nirdharito poddhotite nirdishto somoyero modhye dayitbo hostantoro korite bjortho hono, taha hoile taharo bidhi dbara nirdharito poddhotite taharo uporo onodhiko 50 (ponchasho) hajaro taka jorimana aropito hoibe|].","প্রদত্ত প্রসঙ্গ অনুযায়ী স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৩১ সম্পর্কে কী বলা হয়েছে?","prodotto prosngo anujayi sthaniyo shorkar (iuniyono porishodo) ain, 2009-er dhara 31 somporke ki bola hoise?","[(১) যদি কোন চেয়ারম্যান বা চেয়ারম্যানের দায়িত্বপ্রাপ্ত কোন সদস্য বা প্রশাসক ধারা ৩০ অনুযায়ী নির্ধারিত পদ্ধতিতে নির্দিষ্ট সময়ের মধ্যে দায়িত্ব হস্তান্তর করিতে ব্যর্থ হন, তাহা হইলে তাহার বিধি দ্বারা নির্ধারিত পদ্ধতিতে তাহার উপর অনধিক ৫০ (পঞ্চাশ) হাজার টাকা জরিমানা আরোপিত হইবে|]।","[(1) jodi kon cheyaromjano ba cheyaromjanero dayitboprapto kon sodosjo ba proshasoko dhara 30 anujayi nirdharito poddhotite nirdishto somoyero moddhe dayitbo hostantoro korite bjortho hono, taha hoile taharo bidhi dbara nirdharito poddhotite taharo uporo onodhiko 50 (ponchasho) hajaro taka jorimana aropito hoibe|].","[(১) যদি কোন চেয়ারম্যান বা চেয়ারম্যানের দায়িত্বপ্রাপ্ত কোন সদস্য বা প্রশাসক ধারা ৩১ অনুযায়ী নির্ধারিত পদ্ধতিতে নির্দিষ্ট সময়ের মধ্যে দায়িত্ব হস্তান্তর করিতে ব্যর্থ হন, তাহা হইলে তাহার বিধি দ্বারা নির্ধারিত পদ্ধতিতে তাহার উপর অনধিক ৫০ (পঞ্চাশ) হাজার টাকা জরিমানা আরোপিত হইবে|]।","[(1) jodi kon cheyaromjano ba cheyaromjanero dayitboprapto kon sodosjo ba proshasoko dhara 31 anujayi nirdharito poddhotite nirdishto somoyero modhye dayitbo hostantoro korite bjortho hono, taha hoile taharo bidhi dbara nirdharito poddhotite taharo uporo onodhiko 50 (ponchasho) hajaro taka jorimana aropito hoibe|].",numeric,bnp_002112,,
pilot_000038,has_context,reading_comprehension,low,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]","atharo shotabdite insotitusiono libre de enseniyanjaro shikshabido ebong shiksharthi, kemobrijo bishbobidjaloyo ebng oksofordo bishbobidjaloyero snatokodero dbara madride futobolo khela procharero madhjome riyalo madrido protishtharo bhitti gore uthe. 1897 shale, tara (sosiyedado) skai futobolo name ekta songgho protishthito korn, jeti la sosiyedado (somajo) namei odhiko porichito. eti sesomoyero madridobhittiko kheladhularo ekomatro songgho chilo, jeti proti robibaro sokale monokloya</i>yo kheloto. 1900 shale, ei songghero koyekojonero modhye dbondbero srishti hooyaro fole tara skai futobolo hote bibhokto hoye giye nuyebha sosiyedado de futobolo (futobolero notuno somajo) name notuno ekta klabo gothono kore. bibhokto hoye jaoya bjoktidero moddhe ekojono chhileno huliyano palakioso, jini riyalo madridero prthom sobhapotiro dayitbo palono korechheno. echharao bibhokto hoye jaoya bjoktidero modhye chhileno dui bhai huyano padroso ebong karloso padroso, jara porobortite riyalo madridero sobhapotitbero dayitbo palono korechheno. 1901 shale, ei notuno klabero naam poribortono kore madrido futobolo klabo rakha hoi. porobortite, 1902 sale punorgothonero poro skai futobolo songghoti nam poribortono kore niu futo-bolo klabo rakhe.[24][25][26] 1906 shaler 6i marcho tarikhe, huyano padrosero sobhapotitbe ekti notuno bordo nirbachito hooyaro poro, madrido futobolo klabo anushthanikobhabe protishtha labho kore.[3]","অনুচ্ছেদ অনুযায়ী, “১৯০০ সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের” প্রসঙ্গে কী তথ্য দেওয়া হয়েছে?","onuchchhedo anujayi, “1900 songghero koyekojonero moddhe dbondbero” prosongge ki tothjo deoya hoise?","১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে।","1900 shale, ei songghero koyekojonero moddhe dbondbero srishti hooyaro fole tara skai futobolo hote bibhokto hoye giye nuyebha sosiyedado de futobolo (futobolero notuno somajo) name notuno ekta klabo gothono kore.","১৯০১ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে।","1901 shale, ei songghero koyekojonero moddhe dbondbero srishti hooyaro fole tara skai futobolo hote bibhokto hoye giye nuyebha sosiyedado de futobolo (futobolero notuno somajo) name notuno ekti klabo gothono kore.",numeric,bnp_002148,,
pilot_000039,has_context,history,low,"প্রথম টেস্ট: ইংল্যান্ড বনাম অস্ট্রেলিয়া (২৮-৩১ ডিসেম্বর), প্রদর্শনী গ্রাউন্ড, ব্রিসবেন। অস্ট্রেলিয়ার অধিনায়ক মার্গারেট পেডেন টস জিতে ব্যাট করার সিদ্ধান্ত নেন। ইংল্যান্ডের অলরাউন্ডার মার্টল ম্যাকল্যাগান মাত্র ১০ রানের বিনিময়ে ৭টি উইকেট নিয়ে অস্ট্রেলিয়াকে ৪৭ রানে অলআউট করে দেন। ইংল্যান্ড ৯ উইকেটে জয়ী হয়।","prthom testo: ingljando bonamo ostreliya (28-31 disemboro), prodorshoni graundo, brisobeno. ostreliyaro odhinayoko margareto pedeno toso jite bjato koraro siddhanto neno. ingljandero oloraundaro martolo mjakoljagano matro 10 ranero binimoye 7ti uiketo niye ostreliyake 47 rane oloauto kore deno. ingljando 9 uikete joyi hoy.",প্রথম টেস্ট কোথায় অনুষ্ঠিত হয়?,prothom testo kothay onushthito hoi?,"প্রদর্শনী গ্রাউন্ড, ব্রিসবেন, অস্ট্রেলিয়া","prodorshoni graundo, brisobeno, ostreliya","প্রদর্শনী গ্রাউন্ড, ব্রিসবেন, অস্ট্রেলীয়া","prodorshoni graundo, brisobeno, ostreliya",relational,bnp_002176,,
pilot_000040,no_context,mathematics,low,,,১লা মার্চ সূর্য অস্ত যায় সন্ধ্যা ৬টায়। প্রতিদিন সূর্য অস্ত যাওয়ার ১.২ মিনিট পরে। এটি সন্ধ্যা ৬:১০ এ এবং ১লা মার্চের ৪০ দিন পরে৷ সূর্য অস্ত যেতে কত মিনিট?,1la marcho surjo osto jayo sondhja 6tayo. protidino surjo osto jaoyaro 1.2 minito pore. eti sondhja 6:10 e ebong 1la marchero 40 dine pore. surjo osto jete koto minito?,৩৮,38,৩৬,36,fabricated,bnp_002202,,
pilot_000041,has_context,history,low,"চট্টগ্রাম বিশ্ববিদ্যালয় (সংক্ষেপে চবি) চট্টগ্রামে অবস্থিত বাংলাদেশের একটি সরকারি বহু-অনুষদভিত্তিক গবেষণা বিশ্ববিদ্যালয়। এটি ১৯৬৬ সালে চট্টগ্রাম জেলার হাটহাজারী উপজেলায় স্থাপিত হয়।[1] এটি দেশের তৃতীয় এবং ক্যাম্পাস আয়তনের দিক থেকে দেশের সর্ববৃহৎ বিশ্ববিদ্যালয়।[2] এখানে প্রায় ২২,০০০ শিক্ষার্থী এবং ৬৮৭ জন শিক্ষক রয়েছেন৷[3]","chottogramo bishbobidjaloyo (songkshepe chobi) chottograme obosthito bangladesher ekta sorokari bohu-onushodobhittiko gobeshona bishbobidjaloyo. eti 1966 shale chottogramo jelaro hatohajari upojelayo sthapito hoi.[1] eti deshero tritiyo ebong kjampaso ayotonero diko theke deshero sorbobrihoto bishbobidjaloyo.[2] ekhane prayo 22,000 shiksharthi ebong 687 jon shikshoko royechheno.[3]",চট্টগ্রাম বিশ্ববিদ্যালয় কবে প্রতিষ্ঠিত হন ?,chottogramo bishbobidjaloyo kobe protishthito hono ?,১৯৬৬ সালে,1966 shale,১৯৭০ সালে,1970 shale,numeric,bnp_002223,,
pilot_000042,has_context,law,low,পেশা ও বৃত্তির স্বাধীনতা: আইনের দ্বারা আরোপিত যুক্তিসঙ্গত বাধা-নিষেধ সাপেক্ষে প্রত্যেক নাগরিকের যে কোন আইনসঙ্গত পেশা বা বৃত্তি গ্রহণের এবং যে কোন আইনসঙ্গত কারবার বা ব্যবসা পরিচালনার অধিকার থাকবে।,pesha o brittiro shadinota: ainero dbara aropito juktisonggoto badha-nishedho sapekshe protjeko nagorikero je kon ainosonggoto pesha ba britti grohonero ebong je kon ainosonggoto karobaro ba bjobosa porichalonaro odhikaro thakobe.,প্রদত্ত প্রসঙ্গ অনুযায়ী বাংলাদেশের সংবিধানে বর্ণিত মৌলিক অধিকার সম্পর্কে কী তথ্য দেওয়া হয়েছে?,prodotto prosngo onujayi bangladesher songbidhane bornito mouliko odhikaro somporke kii tothjo deoya hoyeche?,পেশা ও বৃত্তির স্বাধীনতা: আইনের দ্বারা আরোপিত যুক্তিসঙ্গত বাধা-নিষেধ সাপেক্ষে প্রত্যেক নাগরিকের যে কোন আইনসঙ্গত পেশা বা বৃত্তি গ্রহণের এবং যে কোন আইনসঙ্গত কারবার বা ব্যবসা পরিচালনার অধিকার থাকবে।,pesha o brittiro shadhinota: ainero dbara aropito juktisonggoto badha-nishedho sapekshe protjeko nagorikero je kon ainosonggoto pesha ba britti grohonero ebong je kon ainosonggoto karobaro ba bjobosa porichalonaro odhikaro thakobe.,পেশা ও বৃত্তির স্বাধীনতা: আইনের দ্বারা আরোপিত যুক্তিসঙ্গত বাধা-নিষেধ সাপেক্ষে প্রত্যেক নাগরিকের যে কোন আইনসঙ্গত পেশা বা বৃত্তি গ্রহণের এবং যে কোন আইনসঙ্গত কারবার বা ব্যবসা পরিচালনার অধিকার থাকবে না।,pesha o brittiro shadhinota: ainero dbara aropito juktisonggoto badha-nishedho sapekshe protjeko nagorikero je kon ainosonggoto pesha ba britti grohonero ebng je kon ainosonggoto karobaro ba bjobosa porichalonaro odhikaro thakobe na.,relational,bnp_002309,,
pilot_000043,has_context,law,low,"এতে দাবি করা হয় যে, পার্বত্য এলাকার ১৩টি পৃথক জাতিগোষ্ঠীর সমন্বয়ে জুম্ম জাতি গঠিত।","ete dabi kora hoi je, parbotjo elakaro 13ti prithoko jatigoshthiro somonboye jummo jati gothito.","প্রদত্ত প্রসঙ্গ অনুযায়ী পার্বত্য চট্টগ্রাম শান্তিচুক্তি, ১৯৯৭ সম্পর্কে কী তথ্য দেওয়া হয়েছে?","prodotto prosngo onujayi parbotjo chottogramo shantichukti, 1997 somporke kii tothjo deoya hoise?","এতে দাবি করা হয় যে, পার্বত্য এলাকার ১৩টি পৃথক জাতিগোষ্ঠীর সমন্বয়ে জুম্ম জাতি গঠিত।","ete dabi kora hoy je, parbotjo elakaro 13ti prithoko jatigoshthiro somonboye jummo jati gothito.","এতে দাবি করা হয় যে, পার্বত্য এলাকার ১৪টি পৃথক জাতিগোষ্ঠীর সমন্বয়ে জুম্ম জাতি গঠিত।","ete dabi kora hoi je, parbotjo elakaro 14ta prithoko jatigoshthiro somonboye jummo jati gothito.",numeric,bnp_002314,,
pilot_000044,has_context,history,low,মোহাম্মদী একটি বাংলা মাসিক পত্রিকা। ১৯০৩ সালের আগস্ট মাসে মোহাম্মদ আকরম খাঁর সম্পাদনায়  কলকাতা থেকে এটি প্রকাশিত হয়।,mohammodi ekti bangla masiko potrika. 1903 shaler agosto mase mohammodo akoromo kharo sompadonayo  kolokata theke eti prokashito hoi.,মোহাম্মদী পত্রিকাটি প্রথমে কার সম্পাদনায় প্রকাশিত হয়?,mohammodi potrikati prothome karo sompadonayo prokashito hoy?,মোহাম্মদ আকরম খাঁর সম্পাদনায়,mohammodo akoromo kharo sompadonayo,মুজিবুর রহমান খাঁর সম্পাদনায়,mujiburo rohomano kharo sompadonayo,relational,bnp_002347,,
pilot_000045,has_context,law,low,বাংলাদেশ সংবিধানের ৯৪ নং অনুচ্ছেদের বিধান অনুযায়ী রাষ্ট্রের সর্বোচ্চ আদালত হবে সুপ্রিম কোর্ট যা দুটি ভাগে বিভক্ত।,bangladesh songbidhanero 94 nong onuchchhedero bidhano anujayi rashtrero sorbochcho adaloto hbe suprimo korto ja duti bhage bibhokto.,প্রদত্ত প্রসঙ্গ অনুযায়ী বাংলাদেশের আদালতের এখতিয়ার সম্পর্কে কী তথ্য দেওয়া হয়েছে?,prodotto prosngo onujayi bangladesher adalotero ekhotiyaro somporke kii tothjo deoya hoise?,বাংলাদেশ সংবিধানের ৯৪ নং অনুচ্ছেদের বিধান অনুযায়ী রাষ্ট্রের সর্বোচ্চ আদালত হবে সুপ্রিম কোর্ট যা দুটি ভাগে বিভক্ত।,bangladesh songbidhanero 94 nong onuchchhedero bidhano anujayi rashtrero sorbochcho adaloto hobe suprimo korto ja duti bhage bibhokto.,বাংলাদেশ সংবিধানের ৯৫ নং অনুচ্ছেদের বিধান অনুযায়ী রাষ্ট্রের সর্বোচ্চ আদালত হবে সুপ্রিম কোর্ট যা দুটি ভাগে বিভক্ত।,bangladesh songbidhanero 95 nong onuchchhedero bidhano onujayi rashtrero sorbochcho adaloto hobe suprimo korto ja duti bhage bibhokto.,numeric,bnp_002414,,
pilot_000046,has_context,reading_comprehension,low,"হরিনাথ দেববর্মা (জন্ম ৩০ জুন ১৯৩৩) হলেন একজন টিপরা - ত্রিপুরার একজন ভারতীয় রাজনীতিবিদ, কর্মী এবং রাষ্ট্রনায়ক। হরিনাথ দেববর্মা ১৯৬৭ সালে শ্যামা চরণ ত্রিপুরার সাথে ত্রিপুরা উপজাতি যুব সমিতি (টিইউজেএস)  প্রতিষ্ঠা করেন। পরে তিনি ১৯৯৭ সালে ত্রিপুরা আদিবাসী জনতা ফ্রন্ট প্রতিষ্ঠা করেন।
হরিনাথ দেববর্মা  এছাড়াও ত্রিপুরার চারিলাম নির্বাচনী এলাকা থেকে বিধানসভার সদস্য এবং টিটিএএডিসি-এর প্রাক্তন CEM (1990) ছিলেন।  2019 সালে, তিনি বাংলায় রাজমালার একটি সংশোধিত সংস্করণ রচনা করেন এবং পরে ২০২০ সালের ফেব্রুয়ারিতে অনুবাদিত ইংরেজি 'A Brief History of Rajmala'  প্রকাশ করেন।","horinatho deboborma (jonmo 30 juno 1933) holeno ekojono tipora - tripuraro ekojono bharotiyo rajonitibido, kormi ebng rashtronayoko. horinatho deboborma 1967 sale shjama chorono tripuraro sathe tripura upojati jubo somiti (tiiujeeso)  protishtha koren. pore tini 1997 sale tripura adibasi jonota fronto protishtha koren.
horinatho deboborma  echharao tripuraro charilamo nirbachoni elaka theke bidhanosobharo sodosjo ebng titieedisi-er praktono cem (1990) chhileno.  2019 shale, tini banglayo rajomalaro ekta songshodhito songskorono rochona koren ebng pore 2020 saler februyarite onubadito ingreji 'a brief history of rajmala'  prokasho korn.",হরিনাথ দেববর্মা কবে জন্মগ্রহণ করেন?,horinatho deboborma kobe jonmogrohono koren?,"হরিনাথ দেববর্মা (জন্ম ৩০ জুন ১৯৩৩) হলেন একজন টিপরা - ত্রিপুরার একজন ভারতীয় রাজনীতিবিদ, কর্মী এবং রাষ্ট্রনায়ক।","horinatho deboborma (jonmo 30 juno 1933) holeno ekojono tipora - tripuraro ekojono bharotiyo rajonitibido, kormi ebng rashtronayoko.",৩০ জুন ১৯৬৭,30 juno 1967,numeric,bnp_002441,,
pilot_000047,has_context,reading_comprehension,low,"পিটক শব্দটি পালি এর অর্থ - ঝুড়ি, পাত্র, বাক্স ইত্যাদি, অর্থ যেখানে কোনো কিছু সংরক্ষন করা হয়।[1] এটি থেরবাদী বৌদ্ধদের মূল ধর্মীয় গ্রন্থ। খ্রীষ্ট পূর্ব ৩য় শতকে সম্রাট অশোকের রাজত্বকালে ত্রিপিটক পূর্ণাঙ্গ গ্রন্থ হিসাবে স্বিকৃত হয়। এই গ্রন্থের গ্রন্থনের কাজ শুরু হয়েছিল গৌতম বুদ্ধ এর পরিনির্বানের তিন মাস পর অর্থাৎ খ্রিষ্ট পূর্ব ৫৪৩ অব্ধে এবং সমাপ্তি ঘটে খ্রিষ্ট পূর্ব প্রায় ২৩৬ অব্ধে। প্রায় তিনশ বছরে তিনটি সঙ্ঘায়নের মধ্যে এর গ্রন্থায়নের কাজ শেষ হয়।[2]","pitoko shobdoti pali er ortho - jhuri, patro, bakso itjadi, ortho jekhane kono kichhu songrokshono kora hoy.[1] eti therobadi bouddhodero mulo dhormiyo grontho. khrishto purbo 3yo shotoke somrato oshokero rajotbokale tripitoko purnanggo grontho hisabe sbikrito hoi. ei gronthero gronthonero kajo shuru hoyechhilo goutomo buddho er porinirbanero tino mas poro orthato khrishto purbo 543 obdhe ebng somapti ghote khrishto purbo prayo 236 obdhe. prayo tinosho bochhore tinoti songghayonero modhye er gronthayonero kajo shesho hoi.[2]",পিটক শব্দের অর্থ কী ?,pitoko shobder ortho kii ?,"ঝুড়ি, পাত্র, বাক্স ইত্যাদি","jhuri, patro, bakso itjadi","ঝুড়ি, পাত্র, বাক্স খ্রিষ্ট","jhuri, patro, bakso khrishto",relational,bnp_002512,,
pilot_000048,no_context,idiom_meaning,low,,,"""ঢাকের বাঁয়া"" এর ভাবার্থ কী?","""dhakero baya"" er bhabartho kii?",সঙ্গে থাকে কিন্তু কাজে আসে না এমন। অনাবশ্যক সঙ্গী,songge thake kintu kaje ase na emono. onaboshjoko songgi,কালক্ষেপণ করা,kalokshepono kora,fabricated,bnp_002627,,
pilot_000049,no_context,mathematics,low,,,"গফুর  একজন ডুবুরি। সে সমুদ্রের তলদেশে গুপ্তধনের জন্য শিকার করতে পছন্দ করে, কিন্তু যখন সে রাখার মতো কিছু খুঁজে পায়, তখন তাকে অবশ্যই এটি জলের পৃষ্ঠে ফিরিয়ে নিয়ে যেতে হবে যাতে নৌকায় থাকা তার জাহাজের সঙ্গীকে তা দিতে পারে।পানির নিচে সাঁতার কাটার সময় তিনি একবারে মাত্র ৩টি বস্তু বহন করতে পারেন। যদি সে পানির নিচে ১৭টি বস্তু খুঁজে পায়, তাহলে ১৭টি বস্তু বহন করার জন্য তাকে জলের পৃষ্ঠে সবচেয়ে কম কতবার যেতে হবে?","gofuro  ekojono duburi. se somudrero tolodeshe guptodhonero jnno shikaro korte pochhondo kore, kintu jokhono she rakharo moto kichhu khuje payo, tokhono take oboshjoi eti jolero prishthe firiye niye jete hbe jate noukayo thaka tar jahajero songgike ta dite pare.paniro niche sataro kataro somoyo tini ekobare matro 3ti bostu bohono korte pareno. jodi she paniro niche 17ta bostu khuje payo, tahole 17ti bostu bohono koraro jnno take jolero prishthe sobocheye komo kotobaro jete hbe?",৬,6,১৫,15,fabricated,bnp_002628,,
pilot_000050,no_context,science,low,,,গবলিন হাঙর শ্রেণিবিন্যাসে কোন বর্গভুক্ত?,gobolino hangoro shrenibinjase kon borgobhukto?,লেমনিফরমস,lemoniforomoso,ডুলমন্ট ম্যাগনাম,dulomonto mjagonamo,fabricated,bnp_002637,,
pilot_000051,has_context,reading_comprehension,low,"ফাহিম আহমদ (জন্ম ১০ আগস্ট, ১৯৮৪) ২০০৬ টরন্টো সন্ত্রাসবাদ মামলায় দোষী সাব্যস্ত ১১ জনের মধ্যে একজন। তিনি এই গোষ্ঠীর একজন রিংলিডার বা মূল হোতা ছিলেন। গ্রেফতারের সময় তার বয়স ছিল ২১ বছর এবং তিনি বিবাহিত ও দুই সন্তানের জনক ছিলেন।","fahimo ahomodo (jonmo 10 agosto, 1984) 2006 toronto sontrasobado mamolayo doshi sabjosto 11 jonero moddhe ekojono. tini ei goshthiro ekojono ringlidaro ba mulo hota chhileno. grefotarero somoyo tar boyoso chilo 21 bochor ebong tini bibahito o dui sontanero jonoko chhileno.",ফাহিম আহমদ কবে জন্মগ্রহণ করেন?,fahimo ahomodo kobe jonmogrohono koren?,"ফাহিম আহমদ (জন্ম ১০ আগস্ট, ১৯৮৪) ২০০৬ টরন্টো সন্ত্রাসবাদ মামলায় দোষী সাব্যস্ত ১১ জনের মধ্যে একজন।","fahimo ahomodo (jonmo 10 agosto, 1984) 2006 toronto sontrasobado mamolayo doshi sabjosto 11 jonero moddhe ekojono.","১০ আগস্ট, ২০০৬","10 agosto, 2006",numeric,bnp_002689,,
pilot_000052,has_context,history,low,"১৬৮০ সালে পরবর্তী সুবাদার শায়েস্তা খাঁ পুনরায় এটির নির্মাণ কাজ শুরু করেন, কিন্তু সমাপ্ত করেননি। কারণ সেই সময় তাঁর কন্যা পরী বিবি ইন্তেকাল করেন (১৬৮৪ সালে)। ১৮৪৪ সালে এলাকাটি 'আওরঙ্গবাদ' নাম বদলে 'লালবাগ' নাম পায় এবং দুর্গটি পরিণত হয় লালবাগ দুর্গে।","1680 shale poroborti subadaro shayesta kha punorayo etiro nirmano kajo shuru korn, kintu somapto korenoni. karono sei somoyo taro konja pori bibi intekalo koren (1684 shale). 1844 shale elakati 'aoronggobado' naam bodole 'lalobago' naam payo ebng durgoti porinoto hoi lalobago durge.",শায়েস্তা খাঁ কোন বছর তার কন্যার মৃত্যুর কারণে নির্মাণ বন্ধ রাখেন?,shayesta kha kon bosor tar konjaro mritjuro karone nirmano bondho rakheno?,১৬৮৪ সালে,1684 shale,১৬৮৬ সালে,1686 shale,numeric,bnp_002737,,
pilot_000053,no_context,idiom_meaning,low,,,"""ওয়াদা"" এর ভাবার্থ কী?","""oyada"" er bhabartho kii?","অঙ্গীকার, প্রতিজ্ঞা, ভবিষ্যতে কিছু দেবার প্রতিশ্রুতি","onggikaro, protijna, bhobishjote kichhu debaro protishruti",প্রবল ইচ্ছা থাকলে কঠিন কাজও সম্পন্ন হয়,probolo ichchha thakole kothino kajoo somponno hoy,fabricated,bnp_002768,,
pilot_000054,has_context,law,low,"এই আইনে বিধান করা হয়েছিল যে, বন্যা, খরা, মহামারী প্রভৃতি প্রাকৃতিক দুর্যোগের কারণে জমিদারগণ রাজস্ব হ্রাসের জন্য কখনও কোন দাবি করতে পারবেন না এবং সরকার জমিদারি প্রকাশ্য নিলামে বিক্রয় করে বকেয়া রাজস্ব আদায় নিশ্চিত করবেন।","ei aine bidhano kora hoyechhilo je, bonja, khora, mohamari probhriti prakritiko durjogero karone jomidarogono rajosbo hrasero jnno kokhonoo kon dabi korte parobeno na ebng sorkar jomidari prokashjo nilame bikroyo kore bokeya rajosbo adayo nishchito korobeno.","প্রদত্ত প্রসঙ্গ অনুযায়ী রাজস্ব বিক্রয় আইন, ১৭৯৩ সম্পর্কে কী তথ্য দেওয়া হয়েছে?","prodotto prosngo onujayi rajosbo bikroyo ain, 1793 somporke ki tothjo deoya hoyeche?","এই আইনে বিধান করা হয়েছিল যে, বন্যা, খরা, মহামারী প্রভৃতি প্রাকৃতিক দুর্যোগের কারণে জমিদারগণ রাজস্ব হ্রাসের জন্য কখনও কোন দাবি করতে পারবেন না এবং সরকার জমিদারি প্রকাশ্য নিলামে বিক্রয় করে বকেয়া রাজস্ব আদায় নিশ্চিত করবেন।","ei aine bidhano kora hoyechhilo je, bonja, khora, mohamari probhriti prakritiko durjogero karone jomidarogono rajosbo hrasero jonno kokhonoo kon dabi korte parobeno na ebng sorkar jomidari prokashjo nilame bikroyo kore bokeya rajosbo adayo nishchito korobeno.","এই আইনে বিধান করা হয়েছিল যে, বন্যা, খরা, মহামারী প্রভৃতি প্রাকৃতিক দুর্যোগের কারণে রায়তগণ রাজস্ব হ্রাসের জন্য কখনও কোন দাবি করতে পারবেন না এবং সরকার জমিদারি প্রকাশ্য নিলামে বিক্রয় করে বকেয়া রাজস্ব আদায় নিশ্চিত করবেন।","ei aine bidhano kora hoyechhilo je, bonja, khora, mohamari probhriti prakritiko durjogero karone rayotogono rajosbo hrasero jonno kokhonoo kon dabi korte parobeno na ebong sorkar jomidari prokashjo nilame bikroyo kore bokeya rajosbo adayo nishchito korobeno.",relational,bnp_002829,,
pilot_000055,no_context,grammar,low,,,রূপতত্ত্বের আলোচ্য বিষয় নয় কোনটি?,rupotottbero alochjo bishoyo noyo konti?,সন্ধি/ণত্ববিধি,sondhi/notbobidhi,সমাস,somaso,fabricated,bnp_002937,,
